code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
MGMD11H3,SOCIAL_SCI,,"This seminar style course has advanced discussions that will go in-depth into a variety of topics in consumer psychology. Students will read papers from academic journals each week, lead the discussions, and share their ideas. Students are expected to submit a research paper at the end of the term. This course is appropriate for senior marketing students who are keen on getting insights into consumer psychology and/or those who want to get exposure to academic research in consumer psychology.",,[MGMA01H3 or MGIA01H3] and MGMB01H3,,Seminar in Consumer Psychology II,,
MGMD19H3,SOCIAL_SCI,,"This course focuses on current faculty research in areas like consumer behaviour and choice, pricing, promotions, etc. and their importance to marketing and research methodology. Topics covered will include specific theoretical or functional areas in marketing. The particular content in any given year will depend on the faculty member.",Some interest in or additional knowledge of different aspects of Marketing,[MGMA01H3 or MGIA01H3] and [MGMB01H3 or MGIB01H3],MGMD21H3,Advanced Special Topics in Marketing II,,"This course can be taken as CR/NCR only for degree requirements, not program requirements."
MGMD20H3,SOCIAL_SCI,,"This course focuses on current faculty research in areas like consumer behaviour and choice, pricing, promotions etc. and their importance to marketing and research methodology. Topics covered will include specific theoretical or functional areas in marketing. The particular content in any given year will depend on the faculty member.",Some interest in or additional knowledge of different aspects of Marketing,[MGMA01H3 or MGIA01H3] and [MGMB01H3 or MGIB01H3],,Advanced Special Topics in Marketing I,,
MGMD21H3,SOCIAL_SCI,,"This course focuses on the analysis required to support marketing decisions and aid in the formation of marketing strategy. This is a Marketing simulation course which will challenge students to make real-time decisions with realistic consequences in a competitive market scenario. As part of a team, students will make decisions on Pricing, branding, distribution strategy, commissioning and using market research, new product launches and a variety of related marketing actions while competing with other teams in a simulation that will dynamically unfold over the semester. This is an action-packed capstone course and will give students the chance to apply what they have learned and to polish their skills in a realistic environment.",Some interest in or additional knowledge of different aspects of Marketing,[MGMA01H3 or MGIA01H3] and [MGMB01H3 or MGIB01H3],,Competitive Marketing in Action,,
MGOC10H3,QUANT,,"The course develops understanding and practical skills of applying quantitative analysis for making better management decisions. Studied analytics methodologies include linear programming; multi-criteria optimization; network and waiting- line models; decision analysis. Methodologies are practiced in a broad range of typical business problems drawn from different areas of management, using spreadsheet modelling tools.",,MGEB02H3 and MGEB12H3 and [MGTA38H3 or (MGTA36H3) or (MGTA35H3)],,Analytics for Decision Making,,
MGOC15H3,QUANT,,"The course lays the foundation of business data analytics and its application to Management. Using state-of-the-art computational tools, students learn the fundamentals of processing, visualizing, and identifying patterns from data to draw actionable insights and improve decision making in business processes.",,MGEB12H3,"MGT458H5, (MGOD30H3)",Introductory Business Data Analytics,MGOC10H3,
MGOC20H3,QUANT,,"An introduction to a broad scope of major strategic and tactical issues in Operations Management. Topics include project management, inventory management, supply chain management, forecasting, revenue management, quality management, lean and just-in-time operations, and production scheduling.",,MGOC10H3,"MGT374H5, RSM370H1",Operations Management,,
MGOC50H3,QUANT,,"This course will focus on topics in Analytics and Operations Management that are not covered or are covered only lightly in regularly offered courses. The particular content in any given year will depend on the faculty member. Possible topics include (but are not limited to) production planning, revenue management, project management, logistics planning, operations management in shared economy, and health care operations management.",,MGEB02H3 and MGEB12H3,,Special Topics in Analytics and Operations,MGOC10H3,
MGOD31H3,QUANT,Partnership-Based Experience,"The course covers advanced Management concepts of Big Data analytics via state-of-the-art computational tools and real-world case studies. By the end of the course, students will be able to conceptualize, design, and implement a data- driven project to improve decision-making.",,MGOC10H3 and MGOC15H3,(MGOD30H3),Advanced Business Data Analytics,,
MGOD40H3,QUANT,,"Students will learn how to construct and implement simulation models for business processes using a discrete-event approach. They will gain skills in the statistical analysis of input data, validation and verification of the models. Using these models, they can evaluate the alternative design and make system improvements. Students will also learn how to perform a Monte Carlo simulation. Spreadsheet and simulation software are integral components to this course and will enhance proficiency in Excel.",,MGOC10H3,MIE360H1,Simulation and Analysis of Business Processes,MGOC20H3,
MGOD50H3,QUANT,,This course will focus on topics in Analytics and Operations Management that are not covered in regularly offered courses. The particular content in any given year will depend on the faculty member.,,MGOC10H3,,Advanced Special Topics in Analytics and Operations Management,,
MGSB01H3,SOCIAL_SCI,University-Based Experience,"This course offers an introduction to strategic management. It analyzes strategic interactions between rival firms in the product market, provides conceptual tools for analyzing these interactions, and highlights the applications of these tools to key elements of business strategy. The course then moves beyond product market competition and considers (among other things) strategic interactions inside the organization, and with non-market actors.",MGAB01H3,Minimum 4.0 credits including MGEA02H3 and MATA34H3 or [[MATA29H3 or MATA30H3 or MATA31H3 or (MATA32H3)] and [(MATA33H3) or MATA35H3 or MATA36H3 or MATA37H3]],RSM392H1 and MGT492H5,Introduction to Strategy,,
MGSB22H3,SOCIAL_SCI,University-Based Experience,"This course focuses on the skills required and issues such as personal, financial, sales, operational, and personnel, which entrepreneurs face as they launch and then manage their early-stage ventures. Particular focus is placed on developing the analytical skills necessary to assess opportunities, and applying the appropriate strategies and resources in support of an effective business launch. This course includes work- integrated-learning components, and satisfies the WIL requirement of the BBA degree.",,MGAB01H3 and [MGHB02H3 or MGIB02H3],"MGT493H5, RSM493H1",Entrepreneurship,,
MGSC01H3,SOCIAL_SCI,,"Begins with an examination of the concept of business mission. Students are then challenged to evaluate the external and industry environments in which businesses compete, to identify sources of competitive advantage and value creation, and to understand and evaluate the strategies of active Canadian companies.",,MGHB02H3 and [MGEB02H3 or MGEB06H3],"MGIC01H3, VPAC13H3, MGT492H5, RSM392H1",Strategic Management I,,
MGSC03H3,SOCIAL_SCI,,"An introduction to key public sector management processes: strategic management at the political level, planning, budgeting, human resource management, and the management of information and information technology. Makes use of cases, and simulations to develop management skills in a public sector setting.",,MGHB02H3 or [POLB56H3 and POLB57H3/(POLB50Y3)],,Public Management,,POLB56H3 and POLB57H3 are prerequisites only for students enrolled in Public Policy programs
MGSC05H3,SOCIAL_SCI,,"How regulation, privatization and globalization are affecting today's managers. Most major management issues and business opportunities involve government (domestic or foreign) at some level - whether as lawmaker, customer, partner, investor, tax- collector, grant-giver, licensor, dealmaker, friend or enemy. This course provides students with an understanding of the issues and introduces some of the skills necessary to successfully manage a business's relationship with government.",,4.0 credits or [POLB56H3 and POLB57H3/(POLB50Y3)],,The Changing World of Business - Government Relations,,POLB56H3 and POLB57H3 are prerequisites only for students enrolled in Public Policy programs
MGSC07H3,SOCIAL_SCI,,This course focuses on the theory and techniques of analyzing and writing business cases. The main focus is to assist students in developing their conceptual and analytical skills by applying the theory learned from each major area of management studies to practical situations. Critical thinking and problem solving skills are developed through extensive use of case analysis.,,MGAB03H3 and MGFB10H3 and MGHB02H3,,Introduction to Case Analysis Techniques,MGMA01H3 and MGAB02H3,
MGSC10H3,SOCIAL_SCI,,"This course teaches students the ways in which business strategy and strategic decisions are affected by the recent explosion of digital technologies. Key considerations include the market and organizational context, process design, and managerial practices that determine value from data, digital infrastructures, and AI. It provides classic frameworks augmented by frontier research to make sense of digital transformation from the perspective of a general manager. Leaning on case study analysis and in-class discussion, this course will surface both practical and ethical pitfalls that can emerge in an increasingly digital world and equip students to operate effectively in professional contexts affected by these fast-moving trends.","Introductory Logic, Probability and Statistics Econometrics (Linear Regression)",Completion of 10.0 credits including MGEB11H3 and MGEB12H3,,Business Strategy in the Digital Age,,
MGSC12H3,ART_LIT_LANG,,"Through the analysis of fiction and non-fiction narratives, particularly film, dealing with managers in both private and public sector organizations, the course explores the ethical dilemmas, organizational politics and career choices that managers can expect to face.",,MGHB02H3 or ENGD94H3 or [2.0 credits at the C-level in POL courses],,Narrative and Management,,
MGSC14H3,HIS_PHIL_CUL,,"Increasingly, the marketplace has come to reward, and government regulators have come to demand a sophisticated managerial approach to the ethical problems that arise in business. Topics include ethical issues in international business, finance, accounting, advertising, intellectual property, environmental policy, product and worker safety, new technologies, affirmative action, and whistle-blowing.",,MGTA38H3 or (MGTA35H3) or (MGTA36H3),"(MGIC14H3), PHLB06H3",Management Ethics,,
MGSC20H3,SOCIAL_SCI,University-Based Experience,"Tomorrow's graduates will enjoy less career stability than previous generations. Technology and demography are changing the nature of work. Instead of having secure progressive careers, you will work on contract or as consultants. You will need to think, and act like entrepreneurs. This course includes work-integrated-learning components, and satisfies the WIL requirement of the BBA degree.",,MGAB03H3 and MGHB02H3,,Consulting and Contracting: New Ways of Work,,
MGSC26H3,SOCIAL_SCI,,"Venture capital and other sources of private equity play a critical role in the founding and development of new enterprises. In this course, we will review all aspects of starting and operating a venture capital firm. At the end of the course, students will better understand how the venture capital industry works; what types of businesses venture capitalists invest in and why; how contract structures protect investors; how venture capitalists create value for their investors and for the companies in which they invest; and how the North American venture capital model ports to other contexts.",,MGFB10H3 and MGEC40H3,,Venture Capital,,Priority will be given to students enrolled in the Specialist program in Strategic Management: Entrepreneurship Stream. Additional students will be admitted as space permits.
MGSC30H3,SOCIAL_SCI,,"An introduction to the Canadian legal system and its effects on business entities. The course includes an examination of the Canadian court structure and a discussion of the various forms of business ownership, tort law, contract law, and property law.",,Completion of at least 10.0 credits including MGAB01H3 and MGAB02H3 and [MGTA38H3 or (MGTA35H3) or (MGTA36H3)],"MGT393H5, RSM225H1",The Legal Environment of Business I,,
MGSC35H3,SOCIAL_SCI,Partnership-Based Experience,"This course introduces students to the nature and elements of innovation and explores the application of innovation to various stages of business evolution and to different business sectors. The course has a significant practical component, as student groups will be asked to provide an innovation plan for a real company. This course includes work-integrated- learning components, and satisfies the WIL requirement of the BBA degree.",,Completion of 10.0 credits and [MGSB22H3 or MGSC01H3 or MGSC20H3],,Innovation,,Priority will be given to students enrolled in the Entrepreneurship Stream of the Specialist/Specialist Co-op programs in Strategic Management.
MGSC44H3,SOCIAL_SCI,Partnership-Based Experience,"This Course deals with: political risk & contingency planning; human threats; weather extremes; NGOs (WTO, IMF and World Bank); government influences - dumping, tariffs, subsidies; cultures around the world; foreign exchange issues; export financing for international business; international collaborative arrangements; and pro-active/re- active reasons for companies going international. There will also be guest speakers.",,MGHB02H3,"MGT491H1, RSM490H1",International Business Management,,
MGSC91H3,SOCIAL_SCI,,"This course covers special topics in the area of strategy. The specific topics will vary from year to year, but could include topics in business or corporate strategy, strategy and technology, strategy for sustainability, international business strategy, entrepreneurship, or managing emerging enterprises. The specific topics to be covered will be set out in the syllabus for the course for each semester in which it is offered.",,MGSB01H3,,Special Topics in Strategy,,
MGSD01H3,SOCIAL_SCI,,This course allows 4th-year Specialists students in Strategic Management to deepen and broaden their strategic skills by strengthening their foundational knowledge of the field and by highlighting applications to key strategic management issues facing modern organizations. It will improve students’ ability to think strategically and understand how strategic decisions are made at the higher levels of management.,,"Completion of at least 11.0 credits, including MGSC01H3 and one of [MGSC03H3 or MGSC05H3]",MGID79H3,Senior Seminar in Strategic Management,,
MGSD05H3,SOCIAL_SCI,,"Topics include competitive advantage, organizing for competitive advantage, and failures in achieving competitive advantage. Through case analysis and class discussion, the course will explore competitive positioning, sustainability, globalization and international expansion, vertical integration, ownership versus outsourcing, economies of scale and scope, and the reasons for failure.",,MGSC01H3 or MGIC01H3,,Strategic Management II,,Admission is restricted to students enrolled in a BBA subject POSt. Priority will be given to students enrolled in the Management Strategy stream of the Specialist/Specialist Co- op in Strategic Management.
MGSD15H3,HIS_PHIL_CUL,University-Based Experience,"Topics include identifying, managing and exploiting information assets, the opportunities and limits of dealing with Big Data, the impact of digitalization of information, managing under complexity, globalization, and the rise of the network economy. Students will explore a topic in greater depth through the writing of a research paper.",,MGSC01H3 or MGIC01H3 or enrolment in the Specialist/Specialist (Co-op) program in Management and Information Technology (BBA).,,Managing in the Information Economy,,Admission is restricted to students enrolled in a BBA subject POSt.
MGSD24H3,SOCIAL_SCI,University-Based Experience,"Aimed at students interested in launching their own entrepreneurial venture. The core of the course is the development of a complete business plan which details the student's plans for the venture's initial marketing, finance and growth. This course provides a framework for the evaluation of the commercial potential of business ideas. This course includes work-integrated-learning components, and satisfies the WIL requirement of the BBA degree.",,MGMA01H3 and MGAB01H3 and MGAB02H3,,New Venture Creation and Planning,,
MGSD30H3,SOCIAL_SCI,,"This course considers patents, trademarks, copyright and confidential information. Canada's international treaty obligations as well as domestic law will be covered. Policy considerations, such as the patentability of life forms, copyright in an Internet age of easy copying and patents and international development will be included.",9.5 credits in addition to the prerequisite.,MGSC30H3,,Intellectual Property Law,,
MGSD32H3,SOCIAL_SCI,,"This course further examines the issues raised in Legal Environment of Business I. It focuses on relevant areas of law that impact business organizations such as consumer protection legislation and agency and employment law, and it includes a discussion of laws affecting secured transactions and commercial transactions.",,MGSC30H3,"MGT394H5, RSM325H1",The Legal Environment of Business II,,
MGSD40H3,HIS_PHIL_CUL,,"This course will examine the role of business in society including stakeholder rights and responsibilities, current important environmental and social issues (e.g., climate change, ethical supply chains, etc.) and management practices for sustainable development. It is designed for students who are interested in learning how to integrate their business skills with a desire to better society.",,Completion of 10.0 credits,,Principles of Corporate Social Responsibility,,
MGSD55H3,SOCIAL_SCI,,"This is an advanced course tackling critical issues in technology and information strategy. We focus on the theory and application of platform, screening, and AI strategies",,MGAB02H3 and MGEB02H3 and MGSB01H3 and [MGIC01H3 or MGSC01H3],MGSD15H3 and [MGSD91H3 if taken in Fall 2023],Strategy and Technology,,
MGSD91H3,SOCIAL_SCI,University-Based Experience,"This course covers special topics in the area of strategy. The specific topics will vary from year to year but could include topics in corporate strategy, strategy for public organizations, strategy for sustainability, international business strategy or entrepreneurship. The specific topics to be covered will be set out in the syllabus for the course for each semester in which it is offered.",MGSC01H3 or MGIC01H3,Completion of 10.0 credits,,Advanced Special Topics in Strategy,,
MGTA01H3,SOCIAL_SCI,,"This course serves as an introduction to the organizations called businesses. The course looks at how businesses are planned, organized and created, and the important role that businesses play within the Canadian economic system.",,,"MGTA05H3, MGM101H1, RSM100Y1",Introduction to Business,,
MGTA02H3,SOCIAL_SCI,,"This course serves as an introduction to the functional areas of business, including accounting, finance, production and marketing. It builds on the material covered in MGTA01H3.",,MGTA01H3,"MGTA05H3, MGM101H5, MGM102H5, RSM100Y1",Managing the Business Organization,,
MGTA38H3,ART_LIT_LANG,Partnership-Based Experience,"In this course, students will learn skills and techniques to communicate effectively in an organization. Creativity, innovation and personal style will be emphasized. Students will build confidence in their ability to communicate effectively in every setting while incorporating equity, diversity, and inclusion considerations. This course is a mandatory requirement for all management students. It includes work- integrated-learning components, and satisfies the WIL requirement of the BBA degree.",,,(MGTA35H3) and (MGTA36H3),Management Communications,,
MGTB60H3,SOCIAL_SCI,,"This course provides an introductory overview to the business of sport as it has become one of the largest industries in the world. Drawing from relevant theories applied to sports management, the course will incorporate practical case studies, along with critical thinking assignments and guest speakers from the industry.",,,(HLTB05H3),Introduction to the Business of Sport,,
MGTC28H3,QUANT,,"This is an introductory coding course for Management students who have little programming experience. Beginning with the introduction to the fundamentals of computer scripting languages, students will then learn about the popular tools and libraries often used in various business areas. The case studies used in the course prepare students for some Management specializations that require a certain level of computer programming skills.",,MGEB12H3,"CSCA20H3, CSC120H1, MGT201H1",Computer Programming Applications for Business,,"Students are expected to know introductory algebra, calculus, and statistics to apply coding solutions to these business cases successfully."
MGTD80H3,,,These courses are intended for upper level students whose interests are not covered in one of the other Management courses normally offered. The courses will only be offered when a faculty member is available for supervision and to students whose Management performance has been well above average. Students interested in these courses should consult with the Management Academic Director well in advance.,,,,Supervised Reading In Management,,"Students must obtain consent from the Management, Academic Director, the supervising instructor and the Department of Management before registering for this course."
MGTD81H3,,,These courses are intended for upper level students whose interests are not covered in one of the other Management courses normally offered. The courses will only be offered when a faculty member is available for supervision and to students whose Management performance has been well above average. Students interested in these courses should consult with the Management Academic Director well in advance.,,,,Supervised Reading In Management,,"Students must obtain consent from the Management, Academic Director, the supervising instructor and the Department of Management before registering for this course."
MGTD82Y3,,,These courses are intended for upper level students whose interests are not covered in one of the other Management courses normally offered. The courses will only be offered when a faculty member is available for supervision and to students whose Management performance has been well above average. Students interested in these courses should consult with the Management Academic Director well in advance.,,,,Supervised Reading In Management,,"Students must obtain consent from the Management, Academic Director, the supervising instructor and the Department of Management before registering for this course."
MUZA60H3,ART_LIT_LANG,University-Based Experience,The practical study of instrumental ensemble performance in the Concert Band setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Concert Band attempts to accommodate everyone but is not a course to learn an instrument for the first time.,,,(VPMA73H3),Concert Band Ia,,
MUZA61H3,ART_LIT_LANG,University-Based Experience,The practical study of instrumental ensemble performance in the Concert Band setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Concert Band attempts to accommodate everyone but is not a course to learn an instrument for the first time.,,MUZA60H3/(VPMA73H3),(VPMA74H3),Concert Band Ib,,
MUZA62H3,ART_LIT_LANG,University-Based Experience,The practical study of vocal ensemble performance in the Concert Choir setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement Interview required. Concert Choir attempts to accommodate everyone.,,,(VPMA70H3),Concert Choir Ia,,
MUZA63H3,ART_LIT_LANG,University-Based Experience,The practical study of vocal ensemble performance in the Concert Choir setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Place interview required. Concert Choir attempts to accommodate everyone.,,MUZA62H3/(VPMA70H3),(VPMA71H3),Concert Choir Ib,,
MUZA64H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the String Orchestra setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. String Orchestra attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,,(VPMA66H3),String Orchestra Ia,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZA65H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the String Orchestra setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. String Orchestra attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZA64H3/(VPMA66H3),(VPMA67H3),String Orchestra 1b,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZA66H3,ART_LIT_LANG,University-Based Experience,"The practical study of small ensemble performance, including public presentations and group recitals. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Small Ensembles attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,,(VPMA68H3),Small Ensembles Ia,,"1. Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits. 2. Students interested in popular, rock, jazz, or other contemporary styles should register for LEC 01. Students interested in classical, folk, ""world,"" or other acoustic-based styles should register for LEC 02."
MUZA67H3,ART_LIT_LANG,University-Based Experience,"The practical study of small ensemble performance, including public presentations and group recitals. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Small Ensembles attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZA66H3/(VPMA68H3),(VPMA69H3),Small Ensembles Ib,,"1. Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits. 2. Students interested in popular, rock, jazz, or other contemporary styles should register for LEC 01. Students interested in classical, folk, ""world,"" or other acoustic-based styles should register for LEC 02."
MUZA80H3,ART_LIT_LANG,,"A practical introduction to musicianship through music- making and creation, with an emphasis on aural skills, rhythmic fluency, notation, and basic vocal and instrumental techniques. This course is open to students with no musical training and background.",,,(VPMA95H3),Foundations in Musicianship,,"Priority will be given to first and second-year students in Major and Minor Music and Culture programs. Additional students will be admitted as space permits. A placement test will be held in Week 1 of the course. Students who pass this test do not have to take MUZA80H3, and can move on to B-levels directly. Contact acm- pa@utsc.utoronto.ca for more information"
MUZA81H3,ART_LIT_LANG,University-Based Experience,"This course will provide a broad overview of the music industry and fundamentals in audio theory and engineering. It will cover the physics of sound, psychoacoustics, the basics of electricity, and music business and audio engineering to tie into the Centennial College curriculum.",,Enrollment in the SPECIALIST (JOINT) PROGRAM IN MUSIC INDUSTRY AND TECHNOLOGY,,Introduction to Music Industry and Technology,,
MUZA99H3,HIS_PHIL_CUL,,"An introduction to music through active listening and the consideration of practical, cultural, historical and social contexts that shape our aural appreciation of music. No previous musical experience is necessary.",,,(VPMA93H3),Listening to Music,,
MUZB01H3,SOCIAL_SCI,,"Music within communities functions in ways that differ widely from formal models. Often the defining activity, it blurs boundaries between amateur, professional, audience and performer, and stresses shared involvement. Drawing upon their own experience, students will examine a variety of community practices and current research on this rapidly evolving area.",,MUZA80H3/(VPMA95H3),(VPMB01H3),Introduction to Community Music,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZB02H3,SOCIAL_SCI,,"An introduction to the theory and practice of music teaching, facilitation, and learning. Students will develop practical skills in music leadership, along with theoretical understandings that distinguish education, teaching, facilitation, and engagement as they occur in formal, informal, and non formal spaces and contexts.",,MUZA80H3/(VPMA95H3) or successful clearance of the MUZA80H3 exemption test,(VPMB02H3),"Introduction to Music Teaching, Facilitation, and Learning",,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZB20H3,HIS_PHIL_CUL,,"An examination of art and popular musics. This course will investigate the cultural, historical, political and social contexts of music-making and practices as experienced in the contemporary world.",,,(VPMB82H3),Music in the Contemporary World,,
MUZB21H3,HIS_PHIL_CUL,,"A critical investigation of a wide range of twentieth and twenty-first-century music. This interdisciplinary course will situate music in its historical, social, and cultural environments.",,MUZB20H3/(VPMB82H3),,Exploring Music in Social and Cultural Contexts,,
MUZB40H3,ART_LIT_LANG,,"A comprehensive study of the technologies in common use in music creation, performance and teaching. This course is lab and lecture based.",,,(VPMB91H3),Music and Technology,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZB41H3,HIS_PHIL_CUL,,"This course explores the aesthetic innovations of DJs from various musical genres, from disco to drum’n’bass to dub. We also spend time exploring the political, legal, and social aspects of DJs as their production, remixes, touring schedules, and community involvement reveal what is at stake when we understand DJs as more than entertainers. The course utilizes case studies and provides a hands-on opportunity to explore some of the basic elements of DJ-ing, while simultaneously providing a deep dive into critical scholarly literature.",,MUZA80H3/(VPMA95H3),(VPMC88H3) if taken in Winter 2020 session,DJ Cultures: Analogue Innovations and Digital Aesthetics,,
MUZB60H3,ART_LIT_LANG,University-Based Experience,The practical study of instrumental ensemble performance in the Concert Band setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Concert Band attempts to accommodate everyone but is not a course to learn an instrument for the first time.,,MUZA61H3 /(VPMA74H3),(VPMB73H3),Concert Band IIa,,
MUZB61H3,ART_LIT_LANG,University-Based Experience,The practical study of instrumental ensemble performance in the Concert Band setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Concert Band attempts to accommodate everyone but is not a course to learn an instrument for the first time.,,MUZB60H3/(VPMB73H3),(VPMB74H3),Concert Band IIb,,
MUZB62H3,ART_LIT_LANG,University-Based Experience,The practical study of vocal ensemble performance in the Concert Choir setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement Interview required. Concert Choir attempts to accommodate everyone.,,MUZA63H3/(VPMA71H3),(VPMB70H3),Concert Choir IIa,,
MUZB63H3,ART_LIT_LANG,University-Based Experience,The practical study of vocal ensemble performance in the Concert Choir setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement Interview required. Concert Choir attempts to accommodate everyone.,,MUZB62H3 /(VPMB70H3),(VPMB71H3),Concert Choir IIb,,
MUZB64H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the String Orchestra setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. String Orchestra attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZA65H3/(VPMA67H3),(VPMB66H3),String Orchestra IIa,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZB65H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the String Orchestra setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. String Orchestra attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZB64H3/(VPMB66H3),(VPMB67H3),String Orchestra IIb,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZB66H3,ART_LIT_LANG,University-Based Experience,"The practical study of small ensemble performance, including public presentations and group recitals. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Small Ensembles attempts to accommodate everyone but is not a course to learn an instrument for the first time.",,MUZA67H3/(VPMA69H3),(VPMB68H3),Small Ensembles IIa,,"1. Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits. 2. Students interested in popular, rock, jazz, or other contemporary styles should register for LEC 01. Students interested in classical, folk, ""world,"" or other acoustic-based styles should register for LEC 02."
MUZB67H3,ART_LIT_LANG,University-Based Experience,"The practical study of small ensemble performance, including public presentations and group recitals. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Small Ensembles attempts to accommodate everyone but is not a course to learn an instrument for the first time.",,MUZB66H3/(VPMB68H3),(VPMB69H3),Small Ensembles IIb,,"1. Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits. 2. Students interested in popular, rock, jazz, or other contemporary styles should register for LEC 01. Students interested in classical, folk, ""world,"" or other acoustic-based styles should register for LEC 02."
MUZB80H3,ART_LIT_LANG,,"The continuing development of musicianship through music- making and creation, including elementary harmony, musical forms, introductory analytical and compositional techniques, and aural training.",,MUZA80H3/(VPMA95H3) or successful clearance of the MUZA80H3 exemption test.,(VPMA90H3),Developing Musicianship,,
MUZB81H3,ART_LIT_LANG,,"Building upon Developing Musicianship, this course involves further study of musicianship through music-making and creation, with increased emphasis on composition. The course will provide theory and formal analysis, dictation, notation methods, and ear-training skills.",,MUZB80H3/(VPMB88H3),(VPMB90H3),The Independent Music-Maker,,
MUZC01H3,SOCIAL_SCI,Partnership-Based Experience,"Our local communities are rich with music-making engagement. Students will critically examine community music in the GTA through the lenses of intergenerational music-making, music and social change, music and wellbeing, and interdisciplinary musical engagement. Off- campus site visits are required.",,MUZB01H3/(VPMB01H3),(VPMC01H3),Exploring Community Music,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZC02H3,SOCIAL_SCI,,"This course introduces the histories, contexts, and theories of music in relation to health and wellness. Students will develop deeper understandings of how music can be used for therapeutic and non-therapeutic purposes.",Prior musical experience is recommended,Any 7.0 credits,(VPMC02H3),"Music, Health, and Wellness",,Priority will be given to students enrolled in the Minor and Major programs in Music and Culture. Additional students will be admitted as space permits.
MUZC20H3,ART_LIT_LANG,,"This course examines the synergistic relationship between the moving image and music and how these synergies result in processes of meaning-making and communication. Drawing on readings in cultural theory, cultural studies, musicology and film studies, the course considers examples from the feature film, the Hollywood musical, and the animated cartoon. Same as MDSC85H3",,[2.0 credits at the B-level in MDS courses] or [2.0 credits at the B-level in MUZ/(VPM) courses],"MDSC85H3, (VPMC85H3)","Movies, Music and Meaning",,No Specialist knowledge in Musicology or Film Studies required.
MUZC21H3,SOCIAL_SCI,,"This course examines the unique role of music and the arts in the construction and maintenance of transnational identity in the diaspora. The examples understudy will cover a wide range of communities (e.g. Asian, Caribbean and African) and places.",,MUZB80H3/(VPMB88H3) and [an additional 0.5 credit at the B-level in MUZ/(VPM) courses],(VPMC95H3),Musical Diasporas,,
MUZC22H3,HIS_PHIL_CUL,,"A history of jazz from its African and European roots to present-day experiments. Surveys history of jazz styles, representative performers and contexts of performance.",,MUZB20H3/(VPMB82H3) and [an additional 1.0 credit at the B-level in MUZ/(VPM) courses],(VPMC94H3),Jazz Roots and Routes,,
